               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078326,            0.039491,            0.026874,           0.0022954,              0.2372,           0.0033692,          0.00086541,            0.057158,            0.022337,            0.018513,            0.070053,           0.0033275,           0.0033275
                   1,            0.068771,            0.040764,            0.021621,             0.34698,            0.046792,            0.012094,           0.0035985,            0.053786,            0.024865,            0.017235,            0.039987,           0.0065949,           0.0065949
                   2,             0.05693,            0.040517,            0.021404,             0.45459,             0.13814,            0.059588,            0.017876,              0.0486,             0.02035,            0.017206,           0.0098549,           0.0097962,           0.0097962
                   3,            0.048906,            0.037488,            0.021333,             0.54391,             0.27125,             0.19431,            0.079087,            0.037531,            0.019333,             0.01561,            0.009703,            0.009703,            0.009703
                   4,            0.044101,            0.034949,            0.019569,             0.61569,               0.252,             0.23644,             0.10556,            0.035609,            0.017688,            0.016533,            0.009703,            0.009703,            0.009703
                   5,            0.042719,            0.033918,            0.018534,             0.64857,             0.33396,             0.30582,             0.14103,            0.033666,            0.015966,            0.012428,            0.009604,            0.009604,            0.009604
                   6,            0.041765,             0.03402,            0.017911,             0.64097,             0.36052,             0.32678,             0.15533,            0.030575,            0.015878,            0.012791,            0.009505,            0.009505,            0.009505
                   7,            0.040055,             0.03357,            0.017078,             0.63604,             0.34788,             0.32582,             0.15342,            0.032337,            0.016581,            0.017668,            0.009406,            0.009406,            0.009406
                   8,            0.039403,            0.032313,            0.017358,             0.67487,             0.32787,             0.32766,             0.16135,            0.030576,            0.016401,            0.016093,            0.009307,            0.009307,            0.009307
                   9,            0.038907,            0.032124,            0.016162,             0.70436,              0.3805,             0.38588,             0.20833,            0.028108,            0.014536,             0.01212,            0.009208,            0.009208,            0.009208
                  10,            0.037932,            0.031762,            0.016191,             0.68492,              0.4036,             0.38117,             0.19575,            0.027901,            0.015102,            0.012169,            0.009109,            0.009109,            0.009109
                  11,            0.037408,            0.031022,            0.016047,             0.71255,             0.41324,             0.41005,             0.22523,            0.026372,            0.014323,            0.010833,             0.00901,             0.00901,             0.00901
                  12,            0.036998,            0.030253,            0.015692,             0.72395,             0.37607,              0.4011,             0.21748,             0.02679,            0.014138,            0.012548,            0.008911,            0.008911,            0.008911
                  13,            0.036618,            0.030072,            0.015537,             0.73408,             0.39626,             0.39888,             0.21023,            0.028467,            0.014652,             0.01194,            0.008812,            0.008812,            0.008812
                  14,            0.036268,            0.030522,            0.015555,             0.73435,             0.43599,             0.42876,             0.24987,            0.026003,            0.013536,            0.013224,            0.008713,            0.008713,            0.008713
                  15,            0.035724,            0.030004,            0.015211,             0.74246,             0.44563,             0.45358,             0.25571,            0.026385,             0.01319,              0.0101,            0.008614,            0.008614,            0.008614
                  16,            0.035191,             0.02948,            0.014718,             0.73615,              0.4584,             0.42857,             0.24675,            0.024897,            0.013123,            0.011393,            0.008515,            0.008515,            0.008515
                  17,            0.034954,            0.029533,            0.014453,             0.75025,             0.44939,             0.44313,             0.26882,            0.023975,            0.012682,            0.013689,            0.008416,            0.008416,            0.008416
                  18,            0.034788,            0.029486,            0.014573,             0.77162,             0.44204,             0.45205,             0.26001,            0.024306,             0.01287,            0.012537,            0.008317,            0.008317,            0.008317
                  19,            0.034703,            0.028515,            0.014345,              0.7385,             0.43715,             0.44491,             0.25943,            0.024099,            0.013127,            0.011312,            0.008218,            0.008218,            0.008218
                  20,            0.033881,            0.028403,            0.014047,             0.76139,              0.4383,             0.44818,             0.26351,            0.023576,            0.012486,            0.011286,            0.008119,            0.008119,            0.008119
                  21,            0.033739,             0.02864,            0.013945,             0.76827,             0.46652,             0.49005,             0.29954,            0.022666,            0.012278,            0.010554,             0.00802,             0.00802,             0.00802
                  22,            0.033177,            0.027987,            0.013364,             0.74779,             0.46839,             0.46683,             0.28572,            0.023189,             0.01236,            0.011019,            0.007921,            0.007921,            0.007921
                  23,            0.033389,            0.027851,            0.013465,             0.77704,             0.47069,             0.48453,              0.3032,            0.022424,            0.012079,            0.012037,            0.007822,            0.007822,            0.007822
                  24,            0.032802,            0.027732,            0.013833,             0.77005,              0.4775,             0.47235,             0.30064,            0.022022,            0.011589,            0.013198,            0.007723,            0.007723,            0.007723
                  25,            0.032491,             0.02802,            0.013488,              0.7704,             0.47223,             0.47595,             0.29629,            0.022506,            0.011727,            0.011052,            0.007624,            0.007624,            0.007624
                  26,            0.032713,            0.027616,            0.012808,             0.76604,             0.48221,             0.47488,             0.30386,              0.0213,            0.011666,            0.012204,            0.007525,            0.007525,            0.007525
                  27,            0.032288,            0.027639,            0.012609,             0.76652,             0.51041,             0.49009,             0.31262,            0.020963,            0.011369,            0.011422,            0.007426,            0.007426,            0.007426
                  28,            0.031829,            0.027023,            0.012735,             0.77084,             0.51709,             0.49274,             0.31403,            0.021534,            0.011577,            0.010257,            0.007327,            0.007327,            0.007327
                  29,            0.032234,            0.027482,            0.013083,             0.78006,             0.47976,             0.47078,             0.30335,            0.021156,            0.011437,            0.012052,            0.007228,            0.007228,            0.007228
                  30,            0.032601,            0.027239,            0.012872,             0.80174,             0.48747,             0.51514,             0.32907,            0.021251,            0.011293,            0.010304,            0.007129,            0.007129,            0.007129
                  31,              0.0316,            0.026667,            0.012801,             0.78666,             0.49647,             0.49926,             0.32408,            0.020752,            0.011322,            0.010746,             0.00703,             0.00703,             0.00703
                  32,            0.031516,            0.026812,            0.012404,              0.7715,             0.53758,             0.50079,             0.32714,            0.020941,             0.01112,            0.010735,            0.006931,            0.006931,            0.006931
                  33,            0.031303,            0.026714,            0.011981,             0.78067,             0.50588,              0.5023,             0.32933,            0.020367,            0.011006,            0.012367,            0.006832,            0.006832,            0.006832
                  34,            0.030988,            0.026801,            0.012389,             0.77916,             0.51429,             0.50408,             0.33756,            0.019684,            0.010778,            0.011636,            0.006733,            0.006733,            0.006733
                  35,            0.030839,            0.026345,            0.011591,             0.76129,              0.5441,             0.50229,             0.33231,             0.01997,            0.010652,            0.011477,            0.006634,            0.006634,            0.006634
                  36,            0.031073,            0.026217,             0.01147,             0.76385,             0.54421,             0.50991,               0.335,             0.01974,            0.010722,            0.010272,            0.006535,            0.006535,            0.006535
                  37,            0.030934,            0.026551,            0.012449,              0.7877,             0.53193,             0.51118,             0.33844,            0.019866,            0.010674,            0.010659,            0.006436,            0.006436,            0.006436
                  38,            0.030533,             0.02612,            0.011733,             0.78323,             0.53208,              0.5157,             0.34393,             0.01955,            0.010676,            0.010803,            0.006337,            0.006337,            0.006337
                  39,            0.030193,             0.02589,            0.011333,             0.77389,             0.52907,             0.50451,             0.33867,            0.019608,            0.010632,            0.012672,            0.006238,            0.006238,            0.006238
                  40,             0.03048,            0.026277,            0.011255,             0.79296,             0.54759,             0.51259,               0.352,            0.019296,            0.010404,            0.012886,            0.006139,            0.006139,            0.006139
                  41,            0.030222,            0.025698,            0.011692,               0.791,             0.54704,             0.52241,             0.35717,            0.019083,            0.010486,            0.010749,             0.00604,             0.00604,             0.00604
                  42,            0.029871,            0.025597,            0.011174,             0.78532,             0.53752,             0.50148,             0.34435,            0.019403,            0.010245,            0.012331,            0.005941,            0.005941,            0.005941
                  43,            0.030114,            0.025584,            0.011297,             0.78135,             0.54466,             0.51366,             0.35414,            0.019065,            0.010343,            0.011167,            0.005842,            0.005842,            0.005842
                  44,            0.029811,            0.025435,            0.011335,             0.75452,             0.54472,              0.5039,             0.34642,            0.018868,            0.010259,            0.011396,            0.005743,            0.005743,            0.005743
                  45,            0.029831,            0.025529,            0.010878,             0.81095,             0.55484,              0.5293,             0.36661,            0.018673,            0.010283,            0.010804,            0.005644,            0.005644,            0.005644
                  46,            0.029547,            0.025536,            0.011166,              0.8153,              0.5507,             0.53221,             0.37171,            0.018453,            0.010071,             0.01083,            0.005545,            0.005545,            0.005545
                  47,            0.029484,            0.025519,            0.010939,             0.79522,             0.56022,             0.52467,             0.36398,            0.018596,            0.010107,            0.011031,            0.005446,            0.005446,            0.005446
                  48,            0.029315,            0.025428,              0.0107,             0.79725,              0.5605,             0.51934,             0.36169,            0.018823,            0.010082,            0.012091,            0.005347,            0.005347,            0.005347
                  49,            0.029607,            0.025249,            0.011304,             0.78394,             0.55808,             0.51435,             0.35616,            0.018332,            0.010077,            0.012259,            0.005248,            0.005248,            0.005248
                  50,            0.028634,            0.025137,            0.010542,             0.81186,             0.55019,             0.53126,             0.36876,            0.018067,           0.0098905,            0.011426,            0.005149,            0.005149,            0.005149
                  51,            0.028732,            0.025137,           0.0098484,             0.79152,             0.55554,             0.52812,             0.36714,            0.018307,           0.0098344,            0.011928,             0.00505,             0.00505,             0.00505
                  52,            0.028635,            0.024906,            0.010372,             0.79413,             0.56718,              0.5361,             0.37191,            0.018119,           0.0098973,           0.0095437,            0.004951,            0.004951,            0.004951
                  53,            0.028769,            0.025006,            0.010478,             0.78736,             0.56993,             0.53245,             0.37622,            0.017653,           0.0097725,            0.010879,            0.004852,            0.004852,            0.004852
                  54,            0.028558,            0.024447,            0.010159,             0.81546,             0.56751,             0.53852,             0.37863,            0.017916,           0.0096632,            0.010227,            0.004753,            0.004753,            0.004753
                  55,            0.028352,            0.024495,            0.010111,             0.81543,             0.57417,             0.54232,             0.38384,            0.017678,           0.0096243,            0.010475,            0.004654,            0.004654,            0.004654
                  56,            0.028392,            0.024068,            0.010793,             0.82822,             0.56654,             0.54617,             0.38996,            0.017634,            0.009564,            0.010674,            0.004555,            0.004555,            0.004555
                  57,            0.028176,            0.023857,           0.0099583,             0.81756,             0.57139,             0.54438,             0.39121,            0.017695,           0.0095771,            0.010814,            0.004456,            0.004456,            0.004456
                  58,            0.028003,            0.023791,           0.0094363,             0.81136,             0.57316,             0.53855,             0.38627,            0.017309,           0.0095354,            0.011479,            0.004357,            0.004357,            0.004357
                  59,            0.028238,            0.024165,           0.0096016,             0.83312,             0.56374,             0.55464,             0.40127,            0.017232,           0.0094442,            0.010689,            0.004258,            0.004258,            0.004258
                  60,            0.027968,            0.023978,           0.0095312,             0.81194,             0.56242,             0.54761,              0.3959,            0.017189,           0.0093837,             0.01087,            0.004159,            0.004159,            0.004159
                  61,            0.027292,            0.024109,           0.0096885,             0.81369,             0.55875,             0.54632,             0.39693,            0.017163,           0.0093549,             0.01065,             0.00406,             0.00406,             0.00406
                  62,            0.027609,            0.023742,           0.0090424,             0.80645,             0.58746,             0.55396,             0.40108,            0.017294,           0.0092984,           0.0097258,            0.003961,            0.003961,            0.003961
                  63,            0.027616,            0.023507,           0.0093837,             0.81767,             0.57646,             0.55258,             0.39918,            0.017254,           0.0092678,            0.010081,            0.003862,            0.003862,            0.003862
                  64,            0.027315,            0.023674,           0.0092345,             0.81601,             0.58107,             0.55037,             0.40022,            0.017281,           0.0092736,             0.01049,            0.003763,            0.003763,            0.003763
                  65,            0.027371,            0.023445,           0.0088948,             0.82443,             0.57132,             0.55098,              0.3996,             0.01714,           0.0092247,            0.010828,            0.003664,            0.003664,            0.003664
                  66,            0.027117,            0.023452,           0.0093117,              0.8231,             0.55732,             0.54465,              0.3958,            0.017111,           0.0091845,            0.011123,            0.003565,            0.003565,            0.003565
                  67,            0.026976,              0.0234,           0.0084758,             0.83419,             0.55578,             0.54513,             0.39553,            0.017215,           0.0091144,            0.011071,            0.003466,            0.003466,            0.003466
                  68,             0.02684,             0.02321,           0.0088006,             0.82575,              0.5618,             0.54434,             0.39769,            0.016964,           0.0090889,            0.011524,            0.003367,            0.003367,            0.003367
                  69,            0.027061,            0.023618,           0.0090127,              0.8112,             0.56757,             0.54133,             0.39584,            0.016766,           0.0090644,            0.011678,            0.003268,            0.003268,            0.003268
                  70,            0.026565,            0.023104,           0.0087449,             0.81289,             0.59191,             0.54583,             0.40162,            0.016675,            0.009009,            0.011408,            0.003169,            0.003169,            0.003169
                  71,            0.026531,             0.02293,           0.0084636,             0.82325,             0.57802,             0.54554,             0.40114,            0.016635,           0.0089733,            0.011893,             0.00307,             0.00307,             0.00307
